SeriesInstanceUID,StudyInstanceUID,SeriesNumberInstances,SeriesPlane,SeriesLabelMerge
1.2.840.113619.2.388.57473.14165493.12404.1597274161.459,1.2.840.113619.6.388.64929441023313671649857008166169394308,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12404.1597274161.460,1.2.840.113619.6.388.64929441023313671649857008166169394308,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12404.1597274161.462,1.2.840.113619.6.388.64929441023313671649857008166169394308,20,axial,other
1.2.840.113619.2.388.57473.14165493.12404.1597274161.463,1.2.840.113619.6.388.64929441023313671649857008166169394308,116,axial,other
1.2.840.113619.2.388.57473.14165493.11814.1597274281.312,1.2.840.113619.6.388.64929441023313671649857008166169394308,1,axial,other
1.2.840.113619.2.388.57473.14165493.12404.1597274161.465,1.2.840.113619.6.388.64929441023313671649857008166169394308,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12404.1597274161.470,1.2.840.113619.6.388.64929441023313671649857008166169394308,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12404.1597274161.476,1.2.840.113619.6.388.64929441023313671649857008166169394308,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12404.1597274161.481,1.2.840.113619.6.388.64929441023313671649857008166169394308,252,axial,t1
1.2.840.113619.2.388.57473.14165493.13255.1595286859.484,1.2.840.113619.6.388.55326781638345523187904784836822139644,20,axial,flair
1.2.840.113619.2.388.57473.14165493.13255.1595286859.482,1.2.840.113619.6.388.55326781638345523187904784836822139644,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13255.1595286859.485,1.2.840.113619.6.388.55326781638345523187904784836822139644,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.13255.1595286859.486,1.2.840.113619.6.388.55326781638345523187904784836822139644,252,axial,t1
1.2.840.113619.2.388.57473.14165493.13255.1595286859.513,1.2.840.113619.6.388.296616598824116420146164414730648035211,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13255.1595286859.515,1.2.840.113619.6.388.296616598824116420146164414730648035211,20,axial,other
1.2.840.113619.2.388.57473.14165493.13255.1595286859.516,1.2.840.113619.6.388.296616598824116420146164414730648035211,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.13255.1595286859.517,1.2.840.113619.6.388.296616598824116420146164414730648035211,20,axial,t2
1.2.840.113619.2.388.57473.14165493.13255.1595286859.522,1.2.840.113619.6.388.296616598824116420146164414730648035211,252,axial,t1
1.2.840.113619.2.388.57473.14165493.13255.1595286860.272,1.2.840.113619.6.388.43804629438438929368265285531169231542,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13255.1595286860.274,1.2.840.113619.6.388.43804629438438929368265285531169231542,20,axial,flair
1.2.840.113619.2.388.57473.14165493.13255.1595286860.275,1.2.840.113619.6.388.43804629438438929368265285531169231542,116,axial,other
1.2.840.113619.2.388.57473.14165493.11840.1595286967.11,1.2.840.113619.6.388.43804629438438929368265285531169231542,1,axial,other
1.2.840.113619.2.388.57473.14165493.13255.1595286860.276,1.2.840.113619.6.388.43804629438438929368265285531169231542,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.13255.1595286860.277,1.2.840.113619.6.388.43804629438438929368265285531169231542,20,axial,t2
1.2.840.113619.2.388.57473.14165493.13255.1595286860.282,1.2.840.113619.6.388.43804629438438929368265285531169231542,232,axial,t1
1.2.840.113619.2.388.57473.14165493.13255.1595286860.556,1.2.840.113619.6.388.123405287767960600324424582633497450620,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13255.1595286860.558,1.2.840.113619.6.388.123405287767960600324424582633497450620,20,axial,other
1.2.840.113619.2.388.57473.14165493.13255.1595286860.559,1.2.840.113619.6.388.123405287767960600324424582633497450620,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.13255.1595286860.561,1.2.840.113619.6.388.123405287767960600324424582633497450620,252,axial,t1
1.2.840.113619.2.388.57473.14165493.13255.1595286860.566,1.2.840.113619.6.388.123405287767960600324424582633497450620,138,axial,other
1.2.840.113619.2.388.57473.14165493.11840.1595286991.726,1.2.840.113619.6.388.123405287767960600324424582633497450620,1,axial,other
1.2.840.113619.2.388.57473.14165493.12597.1594941312.643,1.2.840.113619.6.388.299644115384907986947717284768417434914,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12597.1594941312.645,1.2.840.113619.6.388.299644115384907986947717284768417434914,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12597.1594941312.647,1.2.840.113619.6.388.299644115384907986947717284768417434914,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12597.1594941312.648,1.2.840.113619.6.388.299644115384907986947717284768417434914,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12597.1594941312.836,1.2.840.113619.6.388.114727404025020669904139705458496915292,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12597.1594941312.856,1.2.840.113619.6.388.114727404025020669904139705458496915292,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12703.1596608454.523,1.2.840.113619.6.388.66418468323517774028651012969420461445,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12703.1596608454.525,1.2.840.113619.6.388.66418468323517774028651012969420461445,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12703.1596608454.526,1.2.840.113619.6.388.66418468323517774028651012969420461445,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12703.1596608454.531,1.2.840.113619.6.388.66418468323517774028651012969420461445,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12703.1596608454.694,1.2.840.113619.6.388.126549656610136813161153393616132672333,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12703.1596608454.696,1.2.840.113619.6.388.126549656610136813161153393616132672333,25,axial,flair
1.2.840.113619.2.388.57473.14165493.12703.1596608454.697,1.2.840.113619.6.388.126549656610136813161153393616132672333,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12703.1596608454.698,1.2.840.113619.6.388.126549656610136813161153393616132672333,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12527.1602721925.405,1.2.840.113619.6.388.172097886845497482092845409351737833933,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12527.1602721925.407,1.2.840.113619.6.388.172097886845497482092845409351737833933,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12527.1602721925.408,1.2.840.113619.6.388.172097886845497482092845409351737833933,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12527.1602721925.409,1.2.840.113619.6.388.172097886845497482092845409351737833933,116,axial,other
1.2.840.113619.2.388.57473.14165493.12527.1602721925.410,1.2.840.113619.6.388.172097886845497482092845409351737833933,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12527.1602721925.474,1.2.840.113619.6.388.115131296190354272963907677391386255526,120,axial,other
1.2.840.113619.2.388.57473.14165493.12527.1602721925.479,1.2.840.113619.6.388.115131296190354272963907677391386255526,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12527.1602721925.481,1.2.840.113619.6.388.115131296190354272963907677391386255526,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12527.1602721925.482,1.2.840.113619.6.388.115131296190354272963907677391386255526,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12527.1602721925.483,1.2.840.113619.6.388.115131296190354272963907677391386255526,236,axial,t1
1.2.840.113619.2.388.57473.14165493.12527.1602721925.496,1.2.840.113619.6.388.240281190330846556446169945302248099841,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12527.1602721925.498,1.2.840.113619.6.388.240281190330846556446169945302248099841,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12527.1602721925.499,1.2.840.113619.6.388.240281190330846556446169945302248099841,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12527.1602721925.500,1.2.840.113619.6.388.240281190330846556446169945302248099841,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12527.1602721925.752,1.2.840.113619.6.388.80689003767901423763295032541842825358,220,axial,t1
1.2.840.113619.2.388.57473.14165493.12527.1602721925.757,1.2.840.113619.6.388.80689003767901423763295032541842825358,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.13177.1591830725.671,1.2.840.113619.6.388.106738880751051415278716030635969460033,120,axial,other
1.2.840.113619.2.388.57473.14165493.13177.1591830725.676,1.2.840.113619.6.388.106738880751051415278716030635969460033,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13177.1591830725.678,1.2.840.113619.6.388.106738880751051415278716030635969460033,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12654.1599525247.478,1.2.840.113619.6.388.314842585455233843120254298744963719518,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12654.1599525247.480,1.2.840.113619.6.388.314842585455233843120254298744963719518,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12654.1599525247.481,1.2.840.113619.6.388.314842585455233843120254298744963719518,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12654.1599525247.482,1.2.840.113619.6.388.314842585455233843120254298744963719518,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12654.1599525247.524,1.2.840.113619.6.388.101774739834280643528361334251926593124,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12654.1599525247.526,1.2.840.113619.6.388.101774739834280643528361334251926593124,20,axial,other
1.2.840.113619.2.388.57473.14165493.12654.1599525247.527,1.2.840.113619.6.388.101774739834280643528361334251926593124,116,axial,other
1.2.840.113619.2.388.57473.14165493.12654.1599525247.528,1.2.840.113619.6.388.101774739834280643528361334251926593124,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12654.1599525247.529,1.2.840.113619.6.388.101774739834280643528361334251926593124,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12654.1599525248.194,1.2.840.113619.6.388.204112447996558544077057957260308130167,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12654.1599525248.196,1.2.840.113619.6.388.204112447996558544077057957260308130167,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12654.1599525248.197,1.2.840.113619.6.388.204112447996558544077057957260308130167,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12654.1599525248.198,1.2.840.113619.6.388.204112447996558544077057957260308130167,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12654.1599525248.211,1.2.840.113619.6.388.28404287923732069372792147445379205859,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12654.1599525248.213,1.2.840.113619.6.388.28404287923732069372792147445379205859,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12654.1599525248.214,1.2.840.113619.6.388.28404287923732069372792147445379205859,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12654.1599525248.215,1.2.840.113619.6.388.28404287923732069372792147445379205859,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12439.1601598608.994,1.2.840.113619.6.388.290114509684768753045494002259995288477,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12439.1601598608.997,1.2.840.113619.6.388.290114509684768753045494002259995288477,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12439.1601598609.7,1.2.840.113619.6.388.290114509684768753045494002259995288477,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12439.1601598609.241,1.2.840.113619.6.388.61594380374608993727729099864460374747,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12439.1601598609.243,1.2.840.113619.6.388.61594380374608993727729099864460374747,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12439.1601598609.244,1.2.840.113619.6.388.61594380374608993727729099864460374747,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12601.1600216232.251,1.2.840.113619.6.388.142748775276597318756983106699181872065,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12601.1600216232.253,1.2.840.113619.6.388.142748775276597318756983106699181872065,25,axial,other
1.2.840.113619.2.388.57473.14165493.12601.1600216232.254,1.2.840.113619.6.388.142748775276597318756983106699181872065,116,axial,other
1.2.840.113619.2.388.57473.14165493.12601.1600216232.255,1.2.840.113619.6.388.142748775276597318756983106699181872065,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12601.1600216232.256,1.2.840.113619.6.388.142748775276597318756983106699181872065,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12601.1600216232.634,1.2.840.113619.6.388.213565341158267797835695113155057524431,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12601.1600216232.636,1.2.840.113619.6.388.213565341158267797835695113155057524431,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12601.1600216232.637,1.2.840.113619.6.388.213565341158267797835695113155057524431,116,axial,other
1.2.840.113619.2.388.57473.14165493.12601.1600216232.638,1.2.840.113619.6.388.213565341158267797835695113155057524431,112,axial,other
1.2.840.113619.2.388.57473.14165493.12601.1600216232.643,1.2.840.113619.6.388.213565341158267797835695113155057524431,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12601.1600216232.644,1.2.840.113619.6.388.213565341158267797835695113155057524431,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12839.1602116980.639,1.2.840.113619.6.388.286339837838144895240820456803326285571,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12839.1602116980.641,1.2.840.113619.6.388.286339837838144895240820456803326285571,20,axial,other
1.2.840.113619.2.388.57473.14165493.12839.1602116980.642,1.2.840.113619.6.388.286339837838144895240820456803326285571,116,axial,other
1.2.840.113619.2.388.57473.14165493.11936.1602117043.636,1.2.840.113619.6.388.286339837838144895240820456803326285571,1,axial,other
1.2.840.113619.2.388.57473.14165493.12839.1602116980.643,1.2.840.113619.6.388.286339837838144895240820456803326285571,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12839.1602116980.648,1.2.840.113619.6.388.286339837838144895240820456803326285571,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12839.1602116980.683,1.2.840.113619.6.388.75375959512928365900552902675149673755,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12839.1602116980.684,1.2.840.113619.6.388.75375959512928365900552902675149673755,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12839.1602116980.686,1.2.840.113619.6.388.75375959512928365900552902675149673755,116,axial,other
1.2.840.113619.2.388.57473.14165493.12839.1602116980.687,1.2.840.113619.6.388.75375959512928365900552902675149673755,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12839.1602116980.688,1.2.840.113619.6.388.75375959512928365900552902675149673755,112,axial,other
1.2.840.113619.2.388.57473.14165493.12839.1602116980.693,1.2.840.113619.6.388.75375959512928365900552902675149673755,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12813.1598920519.206,1.2.840.113619.6.388.74651017419275797847028996198355859908,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12813.1598920519.207,1.2.840.113619.6.388.74651017419275797847028996198355859908,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12813.1598920519.209,1.2.840.113619.6.388.74651017419275797847028996198355859908,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12813.1598920519.210,1.2.840.113619.6.388.74651017419275797847028996198355859908,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12460.1599093184.244,1.2.840.113619.6.388.132562926625040752465380888138365504032,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12460.1599093184.246,1.2.840.113619.6.388.132562926625040752465380888138365504032,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12460.1599093184.248,1.2.840.113619.6.388.132562926625040752465380888138365504032,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12522.1602808835.535,1.2.840.113619.6.388.332305745695684910074159098325014812369,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12522.1602808835.537,1.2.840.113619.6.388.332305745695684910074159098325014812369,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12522.1602808835.538,1.2.840.113619.6.388.332305745695684910074159098325014812369,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12522.1602808835.641,1.2.840.113619.6.388.96961933018293068337202595431171220846,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12522.1602808835.644,1.2.840.113619.6.388.96961933018293068337202595431171220846,236,axial,t1
1.2.840.113619.2.388.57473.14165493.12522.1602808835.643,1.2.840.113619.6.388.96961933018293068337202595431171220846,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12954.1590103413.819,1.2.840.113619.6.388.6361536015762131135133837693432843617,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12954.1590103413.822,1.2.840.113619.6.388.6361536015762131135133837693432843617,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12954.1590103413.823,1.2.840.113619.6.388.6361536015762131135133837693432843617,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12954.1590103413.821,1.2.840.113619.6.388.6361536015762131135133837693432843617,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12954.1590103413.874,1.2.840.113619.6.388.77065340495596666075200548352456419030,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12954.1590103413.876,1.2.840.113619.6.388.77065340495596666075200548352456419030,20,axial,other
1.2.840.113619.2.388.57473.14165493.12954.1590103413.877,1.2.840.113619.6.388.77065340495596666075200548352456419030,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12954.1590103413.878,1.2.840.113619.6.388.77065340495596666075200548352456419030,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12954.1590103414.71,1.2.840.113619.6.388.14367579790948489998653593651266548921,120,axial,other
1.2.840.113619.2.388.57473.14165493.12954.1590103414.76,1.2.840.113619.6.388.14367579790948489998653593651266548921,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12954.1590103414.78,1.2.840.113619.6.388.14367579790948489998653593651266548921,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12954.1590103414.200,1.2.840.113619.6.388.212249813450615872040551627358991312203,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12954.1590103414.338,1.2.840.113619.6.388.223449976573948364685576038294179374426,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12954.1590103414.340,1.2.840.113619.6.388.223449976573948364685576038294179374426,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12954.1590103414.378,1.2.840.113619.6.388.108668068696379008422079000958973785636,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12954.1590103414.380,1.2.840.113619.6.388.108668068696379008422079000958973785636,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12954.1590103414.381,1.2.840.113619.6.388.108668068696379008422079000958973785636,116,axial,other
1.2.840.113619.2.388.57473.14165493.11971.1590103536.602,1.2.840.113619.6.388.108668068696379008422079000958973785636,1,axial,other
1.2.840.113619.2.388.57473.14165493.12954.1590103414.382,1.2.840.113619.6.388.108668068696379008422079000958973785636,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12954.1590103414.383,1.2.840.113619.6.388.108668068696379008422079000958973785636,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12954.1590103414.617,1.2.840.113619.6.388.43452173606990919549602610321695870466,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12954.1590103414.619,1.2.840.113619.6.388.43452173606990919549602610321695870466,20,axial,other
1.2.840.113619.2.388.57473.14165493.12954.1590103414.621,1.2.840.113619.6.388.43452173606990919549602610321695870466,116,axial,other
1.2.840.113619.2.388.57473.14165493.11971.1590103557.860,1.2.840.113619.6.388.43452173606990919549602610321695870466,1,axial,other
1.2.840.113619.2.388.57473.14165493.12954.1590103414.622,1.2.840.113619.6.388.43452173606990919549602610321695870466,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12954.1590103414.627,1.2.840.113619.6.388.43452173606990919549602610321695870466,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12954.1590103414.655,1.2.840.113619.6.388.192537819395277998651186067755537323759,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12954.1590103414.657,1.2.840.113619.6.388.192537819395277998651186067755537323759,20,axial,other
1.2.840.113619.2.388.57473.14165493.12954.1590103414.658,1.2.840.113619.6.388.192537819395277998651186067755537323759,116,axial,other
1.2.840.113619.2.388.57473.14165493.11971.1590103561.480,1.2.840.113619.6.388.192537819395277998651186067755537323759,1,axial,other
1.2.840.113619.2.388.57473.14165493.12954.1590103414.660,1.2.840.113619.6.388.192537819395277998651186067755537323759,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12954.1590103414.661,1.2.840.113619.6.388.192537819395277998651186067755537323759,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12723.1602203540.676,1.2.840.113619.6.388.339619180593176789945439702637115247705,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12723.1602203540.678,1.2.840.113619.6.388.339619180593176789945439702637115247705,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12723.1602203540.679,1.2.840.113619.6.388.339619180593176789945439702637115247705,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12723.1602203540.680,1.2.840.113619.6.388.339619180593176789945439702637115247705,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12723.1602203540.685,1.2.840.113619.6.388.339619180593176789945439702637115247705,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12723.1602203540.749,1.2.840.113619.6.388.280941014586127832288864600918111868268,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12723.1602203540.750,1.2.840.113619.6.388.280941014586127832288864600918111868268,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12723.1602203540.752,1.2.840.113619.6.388.280941014586127832288864600918111868268,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12723.1602203540.753,1.2.840.113619.6.388.280941014586127832288864600918111868268,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12723.1602203540.978,1.2.840.113619.6.388.234167747760652367215442636394471638592,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12723.1602203540.980,1.2.840.113619.6.388.234167747760652367215442636394471638592,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12723.1602203540.981,1.2.840.113619.6.388.234167747760652367215442636394471638592,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12723.1602203540.986,1.2.840.113619.6.388.234167747760652367215442636394471638592,232,axial,t1
1.2.840.113619.2.388.57473.14165493.12769.1589859127.417,1.2.840.113619.6.388.299299337503180564742008804526958698621,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12769.1589859127.419,1.2.840.113619.6.388.299299337503180564742008804526958698621,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12769.1589859127.420,1.2.840.113619.6.388.299299337503180564742008804526958698621,252,axial,t1
1.2.840.113619.2.388.57473.14165493.13058.1590362321.438,1.2.840.113619.6.388.312613860666900111454997075285652859829,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13058.1590362321.440,1.2.840.113619.6.388.312613860666900111454997075285652859829,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12899.1602549143.545,1.2.840.113619.6.388.19351184637425381423479132692720503173,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12899.1602549143.547,1.2.840.113619.6.388.19351184637425381423479132692720503173,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12899.1602549143.548,1.2.840.113619.6.388.19351184637425381423479132692720503173,232,axial,t1
1.2.840.113619.2.388.57473.14165493.13531.1592546162.287,1.2.840.113619.6.388.38548718643503154727940352551216885988,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13531.1592546162.289,1.2.840.113619.6.388.38548718643503154727940352551216885988,20,axial,other
1.2.840.113619.2.388.57473.14165493.13531.1592546162.290,1.2.840.113619.6.388.38548718643503154727940352551216885988,252,axial,t1
1.2.840.113619.2.388.57473.14165493.13531.1592546162.388,1.2.840.113619.6.388.182525899980377453968771846341972063381,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13531.1592546162.391,1.2.840.113619.6.388.182525899980377453968771846341972063381,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13531.1592546162.396,1.2.840.113619.6.388.182525899980377453968771846341972063381,116,axial,other
1.2.840.113619.2.388.57473.14165493.12009.1592546404.370,1.2.840.113619.6.388.182525899980377453968771846341972063381,1,axial,other
1.2.840.113619.2.388.57473.14165493.13531.1592546162.390,1.2.840.113619.6.388.182525899980377453968771846341972063381,20,axial,flair
1.2.840.113619.2.388.57473.14165493.13531.1592546162.397,1.2.840.113619.6.388.182525899980377453968771846341972063381,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.13531.1592546162.465,1.2.840.113619.6.388.312048644914612360656250487265160389743,25,axial,t2
1.2.840.113619.2.388.57473.14165493.13531.1592546162.467,1.2.840.113619.6.388.312048644914612360656250487265160389743,20,axial,flair
1.2.840.113619.2.388.57473.14165493.13531.1592546162.469,1.2.840.113619.6.388.312048644914612360656250487265160389743,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.13531.1592546162.470,1.2.840.113619.6.388.312048644914612360656250487265160389743,250,axial,t1
1.2.840.113619.2.388.57473.14165493.12672.1601944523.443,1.2.840.113619.6.388.332226934080956888784070840329703953396,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12672.1601944523.445,1.2.840.113619.6.388.332226934080956888784070840329703953396,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12672.1601944523.446,1.2.840.113619.6.388.332226934080956888784070840329703953396,252,axial,t1
1.2.840.113619.2.388.57473.14165493.12574.1596755745.161,1.2.840.113619.6.388.49340810182461602790068724234654570317,120,axial,other
1.2.840.113619.2.388.57473.14165493.12574.1596755745.166,1.2.840.113619.6.388.49340810182461602790068724234654570317,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12574.1596755745.168,1.2.840.113619.6.388.49340810182461602790068724234654570317,20,axial,other
1.2.840.113619.2.388.57473.14165493.12574.1596755745.169,1.2.840.113619.6.388.49340810182461602790068724234654570317,116,axial,other
1.2.840.113619.2.388.57473.14165493.12051.1596755894.749,1.2.840.113619.6.388.49340810182461602790068724234654570317,1,axial,other
1.2.840.113619.2.388.57473.14165493.12574.1596755745.171,1.2.840.113619.6.388.49340810182461602790068724234654570317,272,axial,t1
1.2.840.113619.2.388.57473.14165493.12574.1596755745.170,1.2.840.113619.6.388.49340810182461602790068724234654570317,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12574.1596755745.189,1.2.840.113619.6.388.126235652383462125946993939470360134219,120,axial,other
1.2.840.113619.2.388.57473.14165493.12574.1596755745.194,1.2.840.113619.6.388.126235652383462125946993939470360134219,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12574.1596755745.196,1.2.840.113619.6.388.126235652383462125946993939470360134219,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12574.1596755745.197,1.2.840.113619.6.388.126235652383462125946993939470360134219,116,axial,other
1.2.840.113619.2.388.57473.14165493.12051.1596755897.793,1.2.840.113619.6.388.126235652383462125946993939470360134219,1,axial,other
1.2.840.113619.2.388.57473.14165493.12574.1596755745.206,1.2.840.113619.6.388.42124512683879592067617762372135468378,1,axial,other
1.2.840.113619.2.388.57473.14165493.12574.1596755745.198,1.2.840.113619.6.388.126235652383462125946993939470360134219,20,axial,t2
1.2.840.113619.2.388.57473.14165493.12574.1596755745.219,1.2.840.113619.6.388.42124512683879592067617762372135468378,1,axial,dwi
1.2.840.113619.2.388.57473.14165493.12574.1596755745.220,1.2.840.113619.6.388.42124512683879592067617762372135468378,3,axial,t1
1.2.840.113619.2.388.57473.14165493.12574.1596755745.256,1.2.840.113619.6.388.290980611618255580417199809771922339437,120,axial,other
1.2.840.113619.2.388.57473.14165493.12574.1596755745.261,1.2.840.113619.6.388.290980611618255580417199809771922339437,25,axial,t2
1.2.840.113619.2.388.57473.14165493.12574.1596755745.263,1.2.840.113619.6.388.290980611618255580417199809771922339437,20,axial,flair
1.2.840.113619.2.388.57473.14165493.12574.1596755745.264,1.2.840.113619.6.388.290980611618255580417199809771922339437,224,axial,t1
1.2.840.113619.2.388.57473.14165493.12574.1596755745.269,1.2.840.113619.6.388.290980611618255580417199809771922339437,40,axial,dwi
1.2.840.113619.2.388.57473.14165493.12726.1602635620.555,1.2.840.113619.6.388.312134215383587103953960642794293542593,25,axial,t2
